candidate_id,claim_bearing,created_at,evaluation_mode,failure_type,hidden_oracle_executed,hidden_security_pass,program_version,secure_eval_row_id,split,stable_sample_id,surface,task_id,visible_pass_hidden_secure_fail,visible_tests_pass
v3:parser_validator_edges:visible_fail,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,9306b7512e59f93e75,confirmatory,,secure,parser_validator_edges,False,False
v3:parser_validator_edges:visible_pass_hidden_fail,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,6887b20896a714db1e,confirmatory,,secure,parser_validator_edges,True,True
v3:parser_validator_edges:hidden_clean,,2026-05-19T01:13:31Z,,passed,True,True,vericoding_research_v3,bf92fcdb7f1365ea21,confirmatory,,secure,parser_validator_edges,False,True
v3:parser_validator_edges:repairable_near_miss,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,7dd03757e331ccc5c6,confirmatory,,secure,parser_validator_edges,True,True
v3:input_canonicalization:visible_fail,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,f150a935aa37480ef0,confirmatory,,secure,input_canonicalization,False,False
v3:input_canonicalization:visible_pass_hidden_fail,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,86e84db062974dc7a3,confirmatory,,secure,input_canonicalization,True,True
v3:input_canonicalization:hidden_clean,,2026-05-19T01:13:31Z,,passed,True,True,vericoding_research_v3,cec93e9f332f5b50f5,confirmatory,,secure,input_canonicalization,False,True
v3:input_canonicalization:repairable_near_miss,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,c8ccc53393cc521f8e,confirmatory,,secure,input_canonicalization,True,True
v3:authorization_rule_sequence:visible_fail,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,7c8a2caa407e3be93b,confirmatory,,secure,authorization_rule_sequence,False,False
v3:authorization_rule_sequence:visible_pass_hidden_fail,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,29437fd9792ddaf014,confirmatory,,secure,authorization_rule_sequence,True,True
v3:authorization_rule_sequence:hidden_clean,,2026-05-19T01:13:31Z,,passed,True,True,vericoding_research_v3,dbcc7afeab7da57dc8,confirmatory,,secure,authorization_rule_sequence,False,True
v3:authorization_rule_sequence:repairable_near_miss,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,2e4300f147b7be0a48,confirmatory,,secure,authorization_rule_sequence,True,True
v3:config_schema_enforcement:visible_fail,,2026-05-19T01:13:31Z,,hidden_secure_property_failed,True,False,vericoding_research_v3,45a735aa1e1896c1fe,confirmatory,,secure,config_schema_enforcement,False,False
