claim_bearing,created_at,decomposition_row_id,evaluator_ambiguity,failure_class,generator_failure,program_version,repair_failure,selector_failure,split,support_status,surface,task_id
,2026-05-19T01:13:31Z,d6723d54a310da3374,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,internal,sliding_window_limiter
,2026-05-19T01:13:31Z,e60a6aee90a2fb01c7,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,internal,feature_flag_matrix
,2026-05-19T01:13:31Z,958818f71799bf2d15,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,confirmatory,support_present,internal,async_rate_limiter
,2026-05-19T01:13:31Z,d8c667ff49c562ad55,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,confirmatory,support_present,internal,timing_safe_compare
,2026-05-19T01:13:31Z,7f6476568668a58f46,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,internal,input_sanitizer
,2026-05-19T01:13:31Z,b4cd835726a879d9d4,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,confirmatory,support_present,internal,token_bucket_enforcer
,2026-05-19T01:13:31Z,e25beb4b6a3f34380c,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,internal,audit_log_writer
,2026-05-19T01:13:31Z,45596a0f0e8e1f772b,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,confirmatory,support_present,internal,permission_gate
,2026-05-19T01:13:31Z,6311d084e23b2693e5,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,confirmatory,support_present,secure,parser_validator_edges
,2026-05-19T01:13:31Z,777be0b2256af90d2e,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,confirmatory,support_present,secure,input_canonicalization
,2026-05-19T01:13:31Z,c91be63a00445c7618,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,confirmatory,support_present,secure,authorization_rule_sequence
,2026-05-19T01:13:31Z,1c21bb40e8a9345fa8,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,secure,config_schema_enforcement
,2026-05-19T01:13:31Z,8ff2ce2975b75d0e6d,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,confirmatory,support_present,secure,token_scope_checker
,2026-05-19T01:13:31Z,e3559e1e727e4e18f0,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,secure,redaction_policy_engine
,2026-05-19T01:13:31Z,227d47b84b735a56b5,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,secure,webhook_signature_validator
,2026-05-19T01:13:31Z,75567a037a7a54952a,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,secure,rate_limit_key_builder
True,2026-05-19T06:58:11Z,e8cd01248a985028c2,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,dev,support_absent,internal,policy_merge
True,2026-05-19T06:58:38Z,927108a85925f42d21,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,dev,support_absent,internal,config_precedence_merge
True,2026-05-19T06:59:01Z,bf8558a1d5f56eaade,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,dev,support_absent,internal,cli_argument_validation
True,2026-05-19T06:59:22Z,6c8dc5978612167212,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,dev,support_absent,internal,retry_backoff_schedule
True,2026-05-19T06:59:42Z,950e3b2d79604621d9,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,dev,support_absent,secure,safe_path_validation
True,2026-05-19T07:00:04Z,dec48320c5124bdfdd,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,dev,support_absent,secure,shell_argument_construction
True,2026-05-19T07:00:25Z,761e8443f09cee8c35,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,dev,support_absent,secure,archive_extract_filter
True,2026-05-19T07:00:44Z,7e0cd73c9eee5e89d5,False,selector_can_help_when_support_present,False,vericoding_research_v3,False,False,dev,support_absent,secure,url_domain_allowlist
True,2026-05-19T07:02:03Z,a88afce115fef84fc4,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,internal,sliding_window_limiter
True,2026-05-19T07:03:06Z,6dc048cc85bb6661f3,False,no_good_candidate_in_pool,True,vericoding_research_v3,True,False,confirmatory,support_absent,internal,feature_flag_matrix
