candidate_rows,claim_bearing,created_at,has_hidden_correct_candidate,has_regression_clean_candidate,has_secure_clean_candidate,pool_regime,program_version,split,support_at_k,support_per_1k_output_tokens,support_per_candidate,support_per_usd,support_row_id,support_status,surface,task_id,total_cost_usd,total_output_tokens
3,,2026-05-19T01:13:31Z,False,False,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,a62523a45925fbbd55,support_absent,internal,sliding_window_limiter,,
3,,2026-05-19T01:13:31Z,False,False,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,4e3d639884285ffc46,support_absent,internal,feature_flag_matrix,,
4,,2026-05-19T01:13:31Z,True,True,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,c067d00a1d0bcd0ea6,support_present,internal,async_rate_limiter,,
4,,2026-05-19T01:13:31Z,True,True,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,a185901e78c19be0fb,support_present,internal,timing_safe_compare,,
3,,2026-05-19T01:13:31Z,False,False,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,cd6d71a2bc7470119b,support_absent,internal,input_sanitizer,,
4,,2026-05-19T01:13:31Z,True,True,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,a3bb9d95c81b82b9c7,support_present,internal,token_bucket_enforcer,,
3,,2026-05-19T01:13:31Z,False,False,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,ad202ddb48125ef598,support_absent,internal,audit_log_writer,,
4,,2026-05-19T01:13:31Z,True,True,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,c07d206c791d939f3e,support_present,internal,permission_gate,,
4,,2026-05-19T01:13:31Z,True,True,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,9a74d520d585e4d8bf,support_present,secure,parser_validator_edges,,
4,,2026-05-19T01:13:31Z,True,True,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,cf37b22e6f98b8b995,support_present,secure,input_canonicalization,,
4,,2026-05-19T01:13:31Z,True,True,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,2cbe287900ae713906,support_present,secure,authorization_rule_sequence,,
3,,2026-05-19T01:13:31Z,False,False,False,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,b65708933e5769af15,support_absent,secure,config_schema_enforcement,,
4,,2026-05-19T01:13:31Z,True,True,True,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,7958bf74326ac669f5,support_present,secure,token_scope_checker,,
3,,2026-05-19T01:13:31Z,False,False,False,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,85df0fd2c99db70807,support_absent,secure,redaction_policy_engine,,
3,,2026-05-19T01:13:31Z,False,False,False,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,6cd7f173de8080920c,support_absent,secure,webhook_signature_validator,,
3,,2026-05-19T01:13:31Z,False,False,False,mixed_baseline_zen_karpathy,vericoding_research_v3,confirmatory,,,,,a8f7a470fd00d6bc80,support_absent,secure,rate_limit_key_builder,,
